ident,type,name,iso_country,iata_code
00A,heliport,Total RF Heliport,US,
00AA,small_airport,Aero B Ranch Airport,US,
00AK,small_airport,Lowell Field,US,
00AL,small_airport,Epps Airpark,US,
00AN,small_airport,Katmai Lodge Airport,US,
00AS,small_airport,Fulton Airport,US,
00AZ,small_airport,Cordes Airport,US,
00CA,small_airport,Goldstone (GTS) Airport,US,
00CL,small_airport,Williams Ag Airport,US,
00CN,heliport,Kitchen Creek Helibase Heliport,US,
00FA,small_airport,Grass Patch Airport,US,
00FL,small_airport,River Oak Airport,US,
00GA,small_airport,Lt World Airport,US,
00GE,heliport,Caffrey Heliport,US,
00HI,heliport,Kaupulehu Heliport,US,
00ID,small_airport,Delta Shores Airport,US,
00IG,small_airport,Goltl Airport,US,
00IL,small_airport,Hammer Airport,US,
00IN,heliport,St Mary Medical Center Heliport,US,
00IS,small_airport,Hayenga's Cant Find Farms Airport,US,
00KS,small_airport,Hayden Farm Airport,US,
00KY,small_airport,Robbins Roost Airport,US,
00LA,heliport,Shell Chemical East Site Heliport,US,
00LL,heliport,Ac & R Components Heliport,US,
00LS,small_airport,Lejeune Airport,US,
00MD,small_airport,Slater Field,US,
00MI,heliport,Dow Chemical Heliport,US,
00MN,small_airport,Battle Lake Municipal Airport,US,
00MO,small_airport,Cooper Flying Service Airport,US,
00MT,heliport,Livingston Healthcare Heliport,US,
00N,small_airport,Bucks Airport,US,
00NC,small_airport,North Raleigh Airport,US,
00NJ,heliport,Colgate-Piscataway Heliport,US,
00NK,seaplane_base,Cliche Cove Seaplane Base,US,
00NR,heliport,Rodanthe Dare County Heliport,US,
00NY,small_airport,Weiss Airfield,US,
00OI,heliport,Miami Valley Hospital Helistop,US,
00OK,small_airport,Gull Bay Landing Airport,US,
00OR,heliport,Steel Systems Heliport,US,
00PA,heliport,R J D Heliport,US,
00PN,small_airport,Ferrell Field,US,
00S,small_airport,McKenzie Bridge State Airport,US,
00SC,small_airport,Flying O Airport,US,
00SD,small_airport,Homan Field,US,
00TE,heliport,Tcjc-Northeast Campus Heliport,US,
00TS,small_airport,Alpine Range Airport,US,
00TT,small_airport,Nowhere Airport,US,
00VA,small_airport,Vaughan Airport,US,
00VI,small_airport,Groundhog Mountain Airport,US,
00W,small_airport,Lower Granite State Airport,US,
00WA,small_airport,Howell Airport,US,
00WI,small_airport,Northern Lite Airport,US,
00WN,small_airport,Hawks Run Airport,US,
00WV,small_airport,Lazy J. Aerodrome,US,
00WY,heliport,Mountain View Regional Hospital Heliport,US,
00XA,small_airport,Weeski Ranch Airport,US,
01A,small_airport,Purkeypile Airport,US,
01AK,heliport,Providence Seward Medical Center Heliport,US,
01AL,small_airport,Ware Island Airport,US,
01AN,small_airport,McHone Heights Airport,US,
01AR,heliport,DeQueen Medical Center Heliport,US,
01AZ,heliport,Yat Heliport,US,
01CA,heliport,SCE Lugo Substation Heliport,US,
01CL,small_airport,Swansboro Country Airport,US,
01CO,heliport,St Vincent General Hospital Heliport,US,
01CT,heliport,Berlin Fairgrounds Heliport,US,
01FA,small_airport,Rybolt Ranch Airport,US,
01FD,heliport,Advent Health Altamonte Springs Heliport,US,
01FL,small_airport,Cedar Knoll Flying Ranch Airport,US,
01GA,heliport,Medical Center Heliport,US,
01GE,small_airport,The Farm Airport,US,
01ID,small_airport,Lava Hot Springs Airport,US,
01II,small_airport,Myers Field,US,
01IL,heliport,Hoopeston Community Memorial Hospital Heliport,US,
01IN,heliport,Community Hospital Heliport,US,
01IS,small_airport,William E. Koenig Airport,US,
01J,small_airport,Hilliard Airpark,US,
01K,small_airport,Caldwell Municipal Airport,US,
01KS,small_airport,Flying N Ranch Airport,US,
01KY,heliport,Lourdes Hospital Heliport,US,
01LA,small_airport,Barham Airport,US,
01LL,small_airport,Schumaier Restricted Landing Area,US,
01LS,small_airport,Country Breeze Airport,US,
01MA,heliport,Compaq Andover Heliport,US,
01MD,seaplane_base,Annapolis Seaplane Base,US,
01ME,seaplane_base,Saint Peter's Seaplane Base,US,
01MI,heliport,Flow Through Terminal Heliport,US,
01MN,seaplane_base,Barnes Seaplane Base,US,
01MO,heliport,Highway Patrol Troop C Headquarters Heliport,US,
01MT,small_airport,Crystal Lakes Resort Airport,US,
01MU,heliport,NWMC - Houghton Heliport,US,
01NC,small_airport,Topsail Airpark,US,
01NH,small_airport,Moore Airfield,US,
01NJ,heliport,Albert Guido Memorial Heliport,US,
01NM,small_airport,Champion Ranch Airport,US,
01NR,heliport,McGee 01 Heliport,US,
01NV,small_airport,Lantana Ranch Airport,US,
01NY,heliport,Vassar Hospital Heliport,US,
01OH,heliport,Atrium Medical Center Heliport,US,
01OI,heliport,Avita Health System Galion Hospital Heliport,US,
01OL,small_airport,Spring Creek Ranch East Airport,US,
01PN,small_airport,Bierly(Personal Use) Airport,US,
01PS,small_airport,Nort's Resort Airport,US,
01SC,small_airport,York Airport,US,
01TE,small_airport,Smith Field,US,
01TN,small_airport,Colonial Air Park,US,
01TT,heliport,Clute Fire & EMS Station #1 Heliport,US,
01U,small_airport,Duckwater Airport,US,
01UT,small_airport,La Sal Junction Airport,US,
01VA,small_airport,Pickles Airport,US,
01WA,heliport,Willapa Harbor Heliport,US,
01WN,heliport,Whidbey General Hospital Heliport,US,
01WT,heliport,Odyssey Heliport,US,
01WY,small_airport,Keyhole Airport,US,
01XA,heliport,Ascension Seton Hays Heliport,US,
01XS,heliport,Meadowood Ranch Heliport,US,
02AA,small_airport,Barefoot Airport,US,
02AK,small_airport,Rustic Wilderness Airport,US,
02AL,small_airport,Bass Field,US,
02AN,small_airport,Emerald Ridge Airport,US,
02CA,heliport,Swepi Beta Platform Ellen Heliport,US,
02CD,small_airport,Shannon Field,US,
02CL,small_airport,Conover Air Lodge Airport,US,
02CO,small_airport,Mc Cullough Airport,US,
02CT,heliport,Strangers Point Heliport,US,
02FA,small_airport,Osborn Airfield,US,
02FD,small_airport,Triple R Ranch Airport,US,
02GA,small_airport,Doug Bolton Field,US,
02GE,small_airport,Etowah Fields Airport,US,
02HI,heliport,K3 Helipad Heliport,US,
02IA,heliport,Boone County Hospital Heliport,US,
02ID,small_airport,Morgan Ranch Airport,US,
02II,small_airport,King Ultralightport,US,
02IN,small_airport,Diamond P. Field,US,
02IS,heliport,Condell Medical Center Heliport,US,
02KS,small_airport,JMJ Landing Airport,US,
02KT,heliport,St Claire Healthcare Heliport,US,
02KY,heliport,Boone National Guard Heliport,US,
02LA,heliport,Louisiana State Police Troop G Heliport,US,
02LS,heliport,Windy Hill Heliport,US,
02MA,heliport,Cuttyhunk Heliport,US,
02MD,small_airport,Garner Field,US,
02ME,small_airport,Nadeau's Airfield,US,
02MI,small_airport,Fairplains Airpark,US,
02MO,small_airport,Troy Airpark,US,
02MS,small_airport,Watts Field,US,
02NE,small_airport,Benes Service Airport,US,
02NH,seaplane_base,Iroquois Landing Seaplane Base,US,
02NM,small_airport,FFR Animas Landing Strip,US,
02NR,heliport,McGee 02 Heliport,US,
02NV,small_airport,Paiute Meadows Airport,US,
02NY,heliport,Hansen Heliport,US,
02OH,small_airport,Zimmerman Airport,US,
02OI,small_airport,Murtha Airport,US,
02OL,heliport,War Veterans Colony Heliport,US,
02OR,small_airport,Rowena Dell Airport,US,
02P,heliport,Stottle Memorial Heliport,US,
02PA,heliport,Lag III Heliport,US,
02PN,heliport,Peco Berwyn Heliport,US,
02PR,small_airport,Cuylers Airport,PR,
02RI,heliport,Miramar Residence Heliport,US,
02SC,small_airport,Harpers Airport,US,
02T,small_airport,Wise River Airport,US,
02TA,heliport,Matagorda Shore Facility Heliport,US,
02TE,heliport,Baylor Medical Center Heliport,US,
02TN,small_airport,Ellis Field,US,
02UT,small_airport,Lucin Airport,US,
02VA,small_airport,The Greenhouse Airport,US,
02VG,heliport,Northstar Aviation Heliport,US,
02WA,small_airport,Cawleys South Prairie Airport,US,
02WI,small_airport,Beer Airport,US,
02WN,small_airport,Fowler Field,US,
02XA,small_airport,JLS Farms Airport,US,
03AA,heliport,Trapper T Heliport,US,
03AK,seaplane_base,Joe Clouds Seaplane Base,US,
03AL,heliport,Highland Medical Center Heliport,US,
03AR,heliport,Hscmh Heliport,US,
03AZ,small_airport,Thompson International Aviation Airport,US,
03CA,heliport,Grossmont Hospital Heliport,US,
03FA,small_airport,Lake Persimmon Airstrip,US,
03GA,small_airport,HIA Airport,US,
03GE,heliport,NGMC Lumpkin Hospital Heliport,US,
03ID,small_airport,Flying Y Ranch Airport,US,
03II,small_airport,Davis Field Ultralightport,US,
03IL,small_airport,Wix Airport,US,
03IN,small_airport,Heinzman Airport,US,
03IS,heliport,OSF St Anthony's Health Center Heliport,US,
03KS,heliport,Valley Grain Heliport,US,
03KY,small_airport,Flying H Farms Airport,US,
03LA,heliport,Damien Heliport,US,
03LS,heliport,Fmc Nr 1 Heliport,US,
03M,seaplane_base,Lakeside Lodge and Marina Seaplane Base,US,
03MA,small_airport,Hadley Airport,US,
03MD,heliport,Upper Chesapeake Medical Center Heliport,US,
03ME,small_airport,Maple Ridge Airport,US,
03MI,heliport,Harold Miller Heliport,US,
03MN,small_airport,Nauerth Land Ranch Airport,US,
03MS,heliport,Vicksburg Medical Center Heliport,US,
03MT,small_airport,Cascade Field,US,
03MU,small_airport,McDonnell Airport,US,
03N,small_airport,Utirik Airport,MH,UTK
03NC,small_airport,Pilots Ridge Airport,US,
03ND,small_airport,Olafson Brothers Airport,US,
03NE,small_airport,Hyde Ranch Airport,US,
03NH,heliport,Lorden Heliport,US,
03NM,heliport,Miner's Colfax Medical Center Heliport,US,
03NR,heliport,Johnston Medical Center Heliport,US,
03NV,small_airport,Llama Ranch Airport,US,
03NY,small_airport,Talmage Field,US,
03OH,small_airport,Gibbs Field,US,
03OI,heliport,"Cleveland Clinic, Marymount Hospital Heliport",US,
03OK,small_airport,Sahoma Lake Airport,US,
03OL,small_airport,Bluebird Airport,US,
03OR,small_airport,Powwatka Ridge Airport,US,
03PA,heliport,Collegeville Heliport,US,
03PN,heliport,M.P. Metals Heliport,US,
03PR,small_airport,Sun View Field Airport,US,
03S,small_airport,Sandy River Airport,US,
03SC,heliport,Seacoast Medical Center Heliport,US,
03TE,small_airport,Barronena Ranch Airport,US,
03TN,heliport,Eagles Landing Heliport,US,
03TS,heliport,Shannon Medical Center Heliport,US,
03TT,small_airport,Brazos Polo Airport,US,
03TX,heliport,M D K Field Heliport,US,
03UT,small_airport,AZ Minerals Corporation Airport,US,
03WA,small_airport,Spangle Field,US,
03WN,small_airport,Aerostone Ranch Airport,US,
03WT,heliport,Lopez Medical Clinic Heliport,US,
03WY,small_airport,Perala Field,US,
03XA,heliport,Del Sol Medical Center Heliport,US,
03XS,small_airport,Creekside Airport,US,
04AA,small_airport,Flying W Ranch Airport,US,
04AL,heliport,Anniston AHP (Anniston Army Depot),US,
04AN,small_airport,North 40 Airport,US,
04AR,heliport,Saline Memorial Hospital Heliport,US,
04CA,small_airport,Gray Butte Field,US,
04CL,small_airport,Hunt's Sky Ranch Airport,US,
04CT,heliport,Shingle Mill Heliport,US,
04FA,small_airport,Richards Field,US,
04FD,heliport,Tampa General Hospital Brandon Healthplex Heliport,US,
04FL,small_airport,Cross Creek Farms Airport,US,
04GA,heliport,Verge Towers Heliport,US,
04I,small_airport,Columbus Southwest Airport,US,
04IA,small_airport,Middlekoop Airport,US,
04ID,small_airport,Lanham Field,US,
04IL,small_airport,Schertz Aerial Service - Hudson Airport,US,
04IN,seaplane_base,Lake Gage Seaplane Base,US,
04IS,small_airport,Van Gorder Airport,US,
04KY,small_airport,Natchez Trace Farm Airport,US,
04LA,heliport,Saint James Parish Hospital Heliport,US,
04LS,heliport,La National Guard Heliport,US,
04MA,small_airport,Goddard Field,US,
04MD,heliport,Chesapeake City Heliport,US,
04ME,small_airport,Beech Hill Airport,US,
04MI,small_airport,Rapids Airway Airport,US,
04MN,small_airport,Helblad Airport,US,
04MS,small_airport,Nick's Flying Service Inc Airport,US,
04MT,small_airport,Pluhar Airport,US,
04NC,heliport,Western Wake Medical Center Heliport,US,
04NE,small_airport,Mc Connell Field Airport,US,
04NJ,small_airport,Emmanuel Airport,US,
04NR,heliport,McGee 04 Heliport,US,
04NV,small_airport,Kingston Ranch Airport,US,
04NY,small_airport,Klaverack Airport,US,
04OG,heliport,Teufel Heliport,US,
04OK,heliport,Stillwater Medical Center Heliport,US,
04OR,small_airport,Collins Landing Strip,US,
04PA,heliport,S & C Distribution Center Heliport,US,
04PN,heliport,Strawbridge & Clothier Exton Heliport,US,
04SC,heliport,Emergency Helipad,US,
04SD,heliport,Cheyenne River Health Center Heliport,US,
04TE,heliport,Veterans Affairs Medical Center Heliport,US,
04TN,small_airport,Hensley Airpark,US,
04TS,heliport,Hummingbird Heliport,US,
04TT,small_airport,4D Ranch Airport,US,
04TX,small_airport,Pocock Airport,US,
04UT,small_airport,Navajo Mountain Airport,US,
04V,small_airport,Saguache Municipal Airport,US,
04VA,heliport,Russell County Medical Center Heliport,US,
04VG,small_airport,Manquin Flight Park Ultralightport,US,
04VT,small_airport,Lightning Bolt Field Airport,US,
04W,small_airport,Field of Dreams Airport,US,
04WA,small_airport,Ox Meadows Airport,US,
04WI,small_airport,Dutch Gap Airstrip,US,
04WN,small_airport,Stillwater Creek Airport,US,
04WV,heliport,West Virginia Univ. Hosp. Inc. Gnd. Pad #2 Heliport,US,
04XA,small_airport,Pecan Field,US,
05AK,small_airport,Wasilla Creek Airpark,US,
05AL,heliport,Allen Stagefield Army Heliport,US,
05AN,small_airport,Wetons Aerodrome,US,
05AR,small_airport,Ozark Skies Airpark,US,
05AZ,heliport,Yuma Regional Medical Center Heliport,US,
05B,seaplane_base,Van Buren Seaplane Base,US,
05CA,heliport,Lost Hills Sheriff's Station Heliport,US,
05CL,small_airport,Pope Valley Airport,US,
05CO,small_airport,Rancho de Aereo Airport,US,
05CT,heliport,O And G Heliport,US,
05FA,small_airport,Melanie's Airport,US,
05FD,heliport,Aventura Heliport,US,
05FL,small_airport,Charlton Strip,US,
05GA,small_airport,Raju Airport,US,
05IA,small_airport,Spotts Field,US,
05ID,small_airport,Running Creek Ranch Airport,US,
05IL,small_airport,Classic Landings Airport,US,
05IN,small_airport,Cooper Airport,US,
05IS,small_airport,Hardy Airport,US,
05KS,small_airport,Darbro Field,US,
05KT,small_airport,High Point Farm Airport,US,
05KY,small_airport,Cartersville Airport,US,
05LA,small_airport,Greg's Flying Service Airport,US,
05LL,heliport,Midwest Heliport,US,
05LS,small_airport,Grass Roots Airport,US,
05M,heliport,Pauls Valley General Hospital Heliport,US,
05MA,heliport,Bentley Heliport,US,
05MD,small_airport,Breezecroft Airport,US,
05ME,small_airport,Drisko Airport,US,
05MI,heliport,Beaumont Hospital Taylor Heliport,US,
05MN,heliport,Northern Pines Medical Center Heliport,US,
05MS,heliport,VA Medical Center Jackson Heliport,US,
05MT,small_airport,Jones Landing Airport,US,
05NE,small_airport,Mc Kay Airport,US,
05NH,heliport,Stumpfield Heliport,US,
05NJ,heliport,Paulus Hook Pier Heliport,US,
05NR,small_airport,Gary Fox Airport,US,
05NV,small_airport,Baker Ranches Airport,US,
05NY,heliport,Oswego County At Pulaski Heliport,US,
05OG,heliport,Drill Field Pad Heliport,US,
05OH,small_airport,Eaglecrest Field,US,
05OI,small_airport,Dorlon Airpark,US,
05OR,small_airport,Peacock Ranch Airport,US,
05PA,heliport,PECO Mob. Heliport,US,
05PN,heliport,State Police Area Iii Heliport,US,
05PS,small_airport,Mills Brothers Airport,US,
05S,small_airport,Vernonia Airfield,US,
05TA,small_airport,Brandes Air Field,US,
05TE,small_airport,Hilde-Griff Field,US,
05TS,small_airport,Dew Drop Airport,US,
05TX,small_airport,Circle A Ranch Airport,US,
05V,small_airport,Blanca Airport,US,
05VA,small_airport,Providence Airport,US,
05VT,heliport,Port of Highgate Springs Heliport,US,
05WA,heliport,Sacred Heart Medical Center Helistop,US,
05WI,small_airport,Ames Private Airport,US,
05WN,small_airport,Flat Creek Field,US,
05XA,heliport,Moore County Hospital District Heliport,US,
05XS,small_airport,Johnson Memorial Airport,US,
05Y,small_airport,Henning Municipal Airport,US,
06AA,small_airport,Twisted Sisters Airport,US,
06AK,small_airport,June Lake Airpark,US,
06AL,heliport,Brown Stagefield Army Heliport,US,
06AR,small_airport,Bondair Airport,US,
06AZ,heliport,Mercy Gilbert Medical Center Heliport,US,
06B,seaplane_base,Lucky Landing Marina and Seaplane Base,US,
06CA,heliport,SCE Solar I Heliport,US,
06CL,heliport,ABC7-TV Heliport,US,
06CO,small_airport,Jecan Airport,US,
06CT,heliport,Day Kimball Healthcare Heliport,US,
06FA,small_airport,William P Gwinn Airport,US,
06FD,small_airport,Grass Roots Airpark,US,
06FL,heliport,Morton Plant Hospital Heliport,US,
06GA,heliport,Smith Heliport,US,
06I,seaplane_base,Patoka Reservoir Landing Area Seaplane Base,US,
06IA,small_airport,Rich Field,US,
06ID,small_airport,Larkin Airport,US,
06IL,small_airport,Humm Airport,US,
06IS,small_airport,Sinele Strip,US,
06KS,heliport,Riverside Hospital Airlift Heliport,US,
06LA,heliport,Panther Helicopters Inc Heliport,US,
06LS,heliport,Hood Container Heliport,US,
06MA,heliport,The Barn Heliport,US,
06MD,heliport,Johns Hopkins Bayview Hospital Heliport,US,
06ME,heliport,Barker Heliport,US,
06MI,heliport,Henry Ford Jackson Hospital Heliport,US,
06MO,small_airport,Noahs Ark Airport,US,
06MT,small_airport,Torgerson Airport,US,
06N,small_airport,Randall Airport,US,
06NC,small_airport,Tailwinds Airport,US,
06ND,small_airport,Fitterer's Strip,US,
06NE,heliport,St Marys Hospital Heliport,US,
06NH,small_airport,Cole Farm Airport,US,
06NV,small_airport,Silver Creek Airport,US,
06NY,small_airport,Murphy Field,US,
06O1,heliport,Saint Elizabeth Medical Center Heliport,US,
06OH,small_airport,Hal Joy Airfield,US,
06OI,small_airport,Green Acres Airport,US,
06OK,heliport,Albert Lodge Heliport,US,
06OR,small_airport,Hayden Mountain Airport,US,
06PA,small_airport,Freefall Oz Airport,US,
06PN,heliport,Schiavoni Heliport,US,
06TA,small_airport,Glaser Field,US,
06TE,small_airport,Ainsworth Airport,US,
06TN,small_airport,Hunter Airport,US,
06TT,small_airport,6 Mile Airpark,US,
06TX,small_airport,Diamond N Ranch Airport,US,
06VA,small_airport,Mount Horeb Field,US,
06WA,heliport,N A Degerstrom Yard Heliport,US,
06WN,small_airport,Western Airpark,US,
06XA,small_airport,J & W Windy Hill Airport,US,
06XS,small_airport,Campbell Field,US,
06Y,small_airport,Herman Municipal Airport,US,
07AA,small_airport,Pan Lake Strip Airport,US,
07AL,heliport,Tac X Stagefield Army Heliport,US,
07AN,small_airport,Bro Majors Airfield,US,
07AR,small_airport,Morrilton Airport,US,
07B,small_airport,Blue Hill Airport,US,
07CL,small_airport,Richvale Airport,US,
07CO,small_airport,Comanche Creek Airport,US,
07FA,medium_airport,Ocean Reef Club Airport,US,OCA
07GA,small_airport,Alcovy Airport,US,
07GE,small_airport,Pope Pate Field,US,
07I,seaplane_base,Lake Monroe Seaplane Base,US,
07IA,small_airport,Hoskins Landing,US,
07II,heliport,St Vincent Jennings Hospital Heliport,US,
07IN,small_airport,Gray Airport,US,
07K,small_airport,Central City Municipal - Larry Reineke Field,US,
07KS,small_airport,Heape Field,US,
07KY,small_airport,Blue Lick Airport,US,
07LS,heliport,Louisiana State Police Troop F Heliport,US,
07MA,heliport,West Pond Heliport,US,
07MD,small_airport,Baugher's Orchard Airport,US,
07ME,heliport,Westbrook Heliport,US,
07MN,small_airport,Dairyview Airport,US,
07MO,small_airport,Lake Sexton Airport,US,
07MT,small_airport,Glasgow Industrial Airport,US,
07N,small_airport,Bermudian Valley Airpark,US,
07NC,small_airport,Hawks Meadow Airport,US,
07NH,seaplane_base,Diving Rock Seaplane Base,US,
07NJ,heliport,Hackensack UMC Palisades Heliport,US,
07NV,small_airport,Border Line Farm Airport,US,
07NY,heliport,Mmc Heliport,US,
07OK,small_airport,Pleasant Valley Airport,US,
07OR,small_airport,Bruce's Airport,US,
07PN,small_airport,Folmar Airport,US,
07PR,heliport,Advanced Public Health of Isabela Heliport,PR,
07TA,small_airport,Salaika Aviation Airport,US,
07TS,small_airport,Cross-Country Estates Airport,US,
07TX,heliport,Pecks Heliport,US,
07UT,small_airport,E Northrop Grumman Airport,US,
